0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.30738986,0.1333235,0.090188764,-0.031659883,0.24258211,-0.17102432,-0.23723847,0.016611818,-0.05008705,0.19298276,0.12573586,-0.13491704,-0.38100147,0.12828586,-0.15636289,-0.13583875,-0.043162398,-0.30108404,-0.08936243,0.26511455,0.07220098,-0.21564229,-0.1147528,-0.083737716,-0.07029717,-0.23991552,-0.23182999,0.11833635,-0.017906884,-0.035224665,-0.2896285,-0.16873755,-0.17800272,-0.16712579,-0.23032324,0.02188211,-0.02221469,-0.31605467,-0.059549972,0.11767913,0.060280323,-0.2022993,-0.13207638,-0.066442646,-0.15692703,0.030726915,0.15248713,0.05545079,-0.16194965,0.114510484,-0.22229779,0.16300538,0.016439518,0.18249944,0.12574422,0.3738911,0.05917957,0.018975236,-0.12665758,0.13792355,0.35092315,0.21257052,-0.048991513,0.15843254
0.33350894,0.14558995,0.09668663,-0.033198982,0.26292357,-0.18440676,-0.2583435,0.016943425,-0.054526664,0.20942147,0.1359418,-0.1472064,-0.41404468,0.13945717,-0.16940552,-0.14870524,-0.04842258,-0.32650355,-0.09719164,0.28879324,0.07653472,-0.23430414,-0.12492608,-0.09065311,-0.07506492,-0.26044017,-0.25061423,0.1265398,-0.0190486,-0.036948886,-0.31535807,-0.18206711,-0.19355994,-0.18122035,-0.25090888,0.022712775,-0.024240255,-0.34316474,-0.06379883,0.12746887,0.06431411,-0.2182588,-0.14152163,-0.07156282,-0.1716697,0.032971933,0.16446352,0.0618273,-0.17476718,0.123171054,-0.24095851,0.17714125,0.018668028,0.19684166,0.13552003,0.40604112,0.06590923,0.01999774,-0.13590413,0.15065,0.38169137,0.22960228,-0.053472135,0.17270201
0.3045598,0.13229558,0.08911046,-0.03112351,0.24029112,-0.16920519,-0.23525575,0.016229121,-0.049665,0.19121474,0.124476574,-0.13385051,-0.3776361,0.12716237,-0.15487148,-0.13486987,-0.043103866,-0.29827723,-0.08858992,0.2629188,0.07115303,-0.21372898,-0.11378624,-0.082924254,-0.0693935,-0.23773625,-0.22950104,0.11685291,-0.01766121,-0.03463041,-0.2872002,-0.16696954,-0.17645587,-0.16556454,-0.22841866,0.021461792,-0.02203952,-0.31319907,-0.058829144,0.11655112,0.05949381,-0.20017512,-0.13048226,-0.065719135,-0.15578194,0.030366184,0.15087463,0.055294476,-0.16025792,0.1132287,-0.22020264,0.16156532,0.016465101,0.18057139,0.124393195,0.3705297,0.058996655,0.01867505,-0.12516904,0.13686799,0.34789446,0.21039422,-0.04860808,0.15714566
0.30037165,0.13022006,0.08820351,-0.03101003,0.23706077,-0.16719249,-0.2317619,0.016301021,-0.048931837,0.18857409,0.12289541,-0.13178433,-0.37226015,0.1253397,-0.15280832,-0.13265337,-0.042075943,-0.2942202,-0.08730718,0.25898856,0.07066674,-0.21069735,-0.11210602,-0.081838526,-0.06876861,-0.23442909,-0.22659494,0.11575196,-0.01752213,-0.03450089,-0.2829448,-0.16494891,-0.17391121,-0.16331679,-0.22500022,0.021447737,-0.021698745,-0.3088225,-0.05824179,0.11500562,0.058973037,-0.1977585,-0.12917356,-0.06495898,-0.15325484,0.030048575,0.14906779,0.054079197,-0.1583119,0.11196385,-0.21723685,0.15926564,0.016011441,0.17840655,0.12293092,0.36533043,0.057720546,0.018579405,-0.123861894,0.13471068,0.3428508,0.20778257,-0.047852814,0.15476407
0.29782423,0.12917861,0.08737725,-0.030669782,0.23503208,-0.16569737,-0.22985989,0.016090298,-0.04852918,0.18697754,0.121821076,-0.13072208,-0.36914802,0.124294885,-0.15149602,-0.13161722,-0.041825995,-0.29171392,-0.08658257,0.2568694,0.06994653,-0.20893317,-0.11118362,-0.08113104,-0.06810449,-0.23245022,-0.22461182,0.114646,-0.017348032,-0.03412313,-0.28062034,-0.16348232,-0.17246531,-0.16192457,-0.22316015,0.021196801,-0.02152398,-0.30622053,-0.057693407,0.11401619,0.05839985,-0.19599876,-0.12795877,-0.0643728,-0.15204962,0.029769182,0.14773774,0.053732287,-0.15690596,0.11094253,-0.21537916,0.15793404,0.015931465,0.17681532,0.121827364,0.36225766,0.05734519,0.01838225,-0.12270972,0.13363579,0.3400069,0.20595121,-0.047468305,0.15350573
0.2812897,0.1226857,0.0816827,-0.028133962,0.22178757,-0.15566619,-0.21778381,0.014415394,-0.0459679,0.17662653,0.114711955,-0.12406207,-0.34913817,0.11759031,-0.14290899,-0.12526855,-0.04065661,-0.27540013,-0.08194654,0.24344218,0.06475959,-0.19757876,-0.10531688,-0.07648219,-0.063451014,-0.21964565,-0.21148,0.106940955,-0.01610999,-0.031310346,-0.26585132,-0.15367652,-0.16320327,-0.15285802,-0.21150541,0.01927548,-0.020428875,-0.28940415,-0.053903323,0.10753464,0.05436998,-0.18422712,-0.1195684,-0.060418632,-0.14462759,0.02785166,0.13882601,0.051954143,-0.14751208,0.10400919,-0.20325673,0.14937234,0.015648898,0.16615586,0.11440605,0.34242117,0.05539274,0.016934805,-0.1148002,0.12694548,0.32181805,0.1937714,-0.045062974,0.14556777
0.36695015,0.159927,0.1067063,-0.036848664,0.28936264,-0.20321777,-0.28398398,0.01894332,-0.059942912,0.23040897,0.14970599,-0.16173688,-0.45537478,0.15336518,-0.18645984,-0.163247,-0.052834097,-0.35928798,-0.106871344,0.31742984,0.08471091,-0.25770366,-0.13733473,-0.09979869,-0.0829277,-0.28651604,-0.27599838,0.1397441,-0.021064479,-0.0410074,-0.34666726,-0.20060413,-0.21284792,-0.19942106,-0.27578485,0.025276886,-0.026632393,-0.3775032,-0.07042205,0.14030868,0.07106624,-0.24048659,-0.15620746,-0.07888493,-0.18849063,0.036380023,0.18122771,0.0675628,-0.19255416,0.13581955,-0.26518315,0.19482388,0.020308116,0.2169038,0.14936201,0.44664925,0.0720439,0.022167314,-0.14995377,0.16547516,0.41969916,0.2529119,-0.058745272,0.18979396
0.35269287,0.15312003,0.10329767,-0.03614509,0.27829126,-0.19604927,-0.27235132,0.018890422,-0.05749773,0.22143096,0.1441917,-0.15493074,-0.4372585,0.14723513,-0.17936935,-0.15606664,-0.049773853,-0.34543198,-0.102569714,0.30436805,0.08255899,-0.24747677,-0.13173144,-0.096047565,-0.080468185,-0.27529606,-0.26585338,0.13548584,-0.020486329,-0.04021674,-0.33248973,-0.19344766,-0.2043046,-0.19174008,-0.26442763,0.024945496,-0.025510358,-0.36267477,-0.068199016,0.13498974,0.06899347,-0.23192091,-0.15126255,-0.07615239,-0.18027617,0.035197973,0.1748066,0.06388464,-0.18566956,0.13121901,-0.25502416,0.18707387,0.018993009,0.20921317,0.14413363,0.42905483,0.06816868,0.021679144,-0.14508626,0.15840887,0.40279138,0.24373724,-0.056261797,0.18190913
0.3082521,0.13380286,0.090310805,-0.031619374,0.24323213,-0.17137492,-0.23801032,0.016537089,-0.05024819,0.1935287,0.12603486,-0.13538823,-0.3821454,0.12867612,-0.15677413,-0.13636856,-0.043462407,-0.3019102,-0.08963962,0.26598763,0.07220114,-0.2162852,-0.115122184,-0.083950154,-0.07035893,-0.24060412,-0.23237754,0.11846026,-0.01791444,-0.035180915,-0.2905667,-0.1690976,-0.17855059,-0.16758266,-0.23108333,0.021827921,-0.022292506,-0.31696987,-0.05962588,0.11798568,0.06032715,-0.20272858,-0.13224716,-0.066569984,-0.15752546,0.030772002,0.1528047,0.055793375,-0.16229795,0.114711545,-0.22289574,0.16349466,0.016579065,0.18288048,0.12599486,0.37498257,0.059536703,0.018962197,-0.12684259,0.13842358,0.35201424,0.21305105,-0.049164645,0.15896766
0.39735985,0.173524,0.115122125,-0.039480582,0.31324324,-0.21963748,-0.30786502,0.020117465,-0.064977765,0.24951825,0.16193722,-0.17544268,-0.4933576,0.166174,-0.20182277,-0.17726071,-0.057796117,-0.38900265,-0.11581441,0.34415773,0.091070995,-0.27918398,-0.14887074,-0.1079959,-0.089358315,-0.3103109,-0.29853565,0.15064639,-0.022670938,-0.043940805,-0.37580633,-0.21685904,-0.2306453,-0.21590848,-0.29901147,0.026994681,-0.028890014,-0.40888068,-0.07596081,0.15185949,0.07655682,-0.25996533,-0.16850133,-0.085229695,-0.2046272,0.039260823,0.19588703,0.07377186,-0.20816568,0.14668322,-0.2870757,0.21107371,0.022295812,0.23445207,0.16140684,0.48380303,0.07863763,0.02378822,-0.16182527,0.17955728,0.45482826,0.2734934,-0.06373002,0.20581831
